id,title,original_language,release_date,vote_count,vote_average,adult,genre_names
525215,The Wicked Witch,id,09-05-15,0,0,FALSE,Horror
525387,The Revenge of Phantom Knight,en,26-02-18,0,0,FALSE,"Crime, Horror, Thriller"
525491,Bhayaanak Panjaa,es,15-08-03,0,0,FALSE,Horror
525607,"It's Tight, but hardly chokes",es,11-11-17,0,0,FALSE,"Horror, Thriller"
525641,Flicker,en,04-09-09,0,0,FALSE,Horror
525663,Some Fairytales From The Rotten Shed,en,07-09-17,0,0,FALSE,"Comedy, Drama, Horror, Music, Mystery, Thriller"
525689,Revenging Ghost,zh,01-01-89,0,0,FALSE,"Drama, Fantasy, Horror"
525690,Midnight Wolf,zh,01-01-87,0,0,FALSE,"Drama, Horror"
525693,Soul Killer,zh,01-01-82,0,0,FALSE,Horror
525698,The Fate,zh,01-01-79,0,0,FALSE,"Drama, Horror"
525702,Alas Pati,id,24-05-18,4,4.3,FALSE,"Adventure, Horror"
525706,Terror! Terror! Terror!,zh,10-01-80,0,0,FALSE,Horror
525709,Living Soul in Dead Body,zh,01-01-81,0,0,FALSE,Horror
525763,Surrealistic Nightmares: An In-depth Look at Walloon Horror Cinema,fr,"director Steve De Roover - with the help of co-director Jrme Vandewattyne (Spit'N'Split) - digs deeper in the follow-up documentary \"\"Surrealistic Nightmares\"\" and shows the beginning of Walloon horror cinema in the '20s (!) and how the genre evolved during the following years. Through unique experiences from the original cast and crew",horror experts and various genre journalists,a broad and in-depth picture is painted about the one-of-a-kind horror legacy from the French side of Belgium,"famous film scenes and loads of original promotional artwork.\"",12-04-19
525904,Reckless,en,21-05-16,0,0,FALSE,Horror
525905,Night Light,en,28-10-17,0,0,FALSE,Horror
525912,Dark Flower,en,01-01-11,0,0,FALSE,Horror
525939,Bleu,en,11-10-14,0,0,FALSE,"Horror, Thriller"
525959,God's Kingdom,en,01-01-17,1,7,FALSE,Horror
526196,Lyco,en,01-04-18,1,1,FALSE,Horror
526208,Leaf Blower Massacre 2,en,17-11-17,0,0,FALSE,"Comedy, Horror"
526226,Tarry-Dan Tarry-Dan Scarey Old Spooky Man,en,01-05-78,0,0,FALSE,"Drama, Fantasy, Horror"
526285,Casa Cheia,pt,29-07-17,0,0,FALSE,Horror
526291,Bariku Light,es,02-11-11,0,0,FALSE,Horror
526411,Tiny Terrors,en,18-05-18,0,0,FALSE,Horror
526463,Paralyzed with Fear,en,03-08-18,0,0,FALSE,"Horror, Thriller"
526491,The Monster Bus,ja,30-07-88,0,0,FALSE,"Action, Comedy, Horror"
526507,Down to Sleep,en,23-09-11,0,0,FALSE,Horror
526578,Uberzombiefrau,en,28-05-18,0,0,FALSE,Horror
526749,Tales for the Campfire 2,en,01-01-17,0,0,FALSE,Horror
526766,The Great Fear,sh,01-01-58,3,6.3,FALSE,"Animation, Horror"
526780,The Plan,en,28-05-17,3,4,FALSE,Horror
526809,The Three Don'ts,en,01-09-17,0,0,FALSE,"Action, Comedy, Crime, Horror"
526838,Frankenstein vs. the Wolfman in 3-D,en,24-10-08,1,4,FALSE,"Animation, Horror"
526856,Dracula: The Legend Lives,en,"she sets off into the cemetery to complete her dare.\"",27-10-16,1,Released,FALSE
526877,Josh,en,14-07-17,0,0,FALSE,"Drama, Horror, Thriller"
526969,Alien Vows,en,01-01-96,0,0,FALSE,Horror
527030,The Feather Pillow,pt,20-06-18,0,0,FALSE,"Animation, Horror, Thriller"
527159,A Nightmare on McKinley Street,en,08-08-14,0,0,FALSE,Horror
527168,Buscando la Pelcula Perdida,pt,"\"\"They Eat Your Meat\"\") as a director / screenwriter in this fun short film that pays homage to the ridiculous monster films of the 50s. A job for nostalgic people.\"",15-06-04,1,Released,FALSE
527175,Blood Shed,en,27-08-17,0,0,FALSE,"Comedy, Horror"
527600,Blerghhh!!!,pt,11-07-96,1,5,FALSE,"Comedy, Horror"
527608,Encarnacion del Tinhoso,pt,11-06-09,1,4.5,FALSE,Horror
527612,Dead Guys,en,12-09-02,0,0,FALSE,"Horror, Mystery"
527717,Selfie,en,11-04-15,0,0,FALSE,Horror
527765,Thatary A Girl in Wonder,ja,15-07-00,0,0,FALSE,"Family, Horror"
527780,Bag,ja,the Fukuro Lady,and many monsters from early sketches for Silent Hill 2. The film contains disturbing,"surreal imagery.\"",0,0
527782,Mushroom,ja,22-11-01,0,0,FALSE,"Animation, Horror"
527784,Usagi,ja,03-07-03,0,0,FALSE,"Animation, Horror"
527816,Schlachten auf Burg Weibertreu,de,31-10-01,0,0,FALSE,Horror
527818,A Nice Evil Day,de,01-01-00,0,0,FALSE,Horror
527830,Video Mania,de,12-12-91,0,0,FALSE,Horror
527960,Cracks,en,10-10-18,0,0,FALSE,Horror
527976,Karantina XII,tr,06-07-18,0,0,FALSE,Horror
528308,Stomach Ulcer - Es kam vom Licht,de,14-12-98,0,0,FALSE,"Comedy, Horror"
528314,Kraven,de,01-01-92,1,10,FALSE,Horror
528322,The Last Days of Humanity,de,24-04-02,0,0,FALSE,Horror
528323,A Bad Day,de,01-01-98,0,0,FALSE,"Action, Horror"
528324,Anale Geburt,de,25-10-99,0,0,FALSE,"Comedy, Horror"
